Sector,Target Country,Date,Target,Lead Investor(s),Amount ($M),Valuation ($M),EV / Revenue,EV / EBITDA,Target Description,Link / Press Release
Corporate Financial Function,United States,2026-06-04,Ramp,"ICONIQ, GIC, Ontario Teachers'",750,44000,,,A US corporate spend-management and financial-operations platform.,https://www.prnewswire.com/news-releases/ramp-raises-series-f-at-44-billion-valuation-302791103.html
Financial Info & Analytics,United States,2026-06-03,AlphaSense,"Vitruvian Partners, Accenture Ventures, J.P. Morgan Asset Mgmt",350,7500,,,A US AI-powered market-intelligence and research platform.,https://www.globenewswire.com/news-release/2026/06/03/3305968/0/en/alphasense-raises-350m-at-7-5b-valuation-and-surpasses-600m-in-annual-recurring-revenue.html
InsurTech,United States,2026-06-04,Honeycomb Insurance,Zeev Ventures,40,,,,A US AI-driven commercial-property insurance underwriter.,https://fortune.com/2026/06/04/honeycomb-insurance-ai-apartments-40-million/
