Source,Month,Buyer Type,Industry Type,Transaction Type,Acquirer / Investor,Target,Target Country,EV ($M),EV / Revenue,EV / EBITDA
Company PR / GlobeNewswire / FinTech Futures,Mar-2025,Growth equity (pension growth fund),Decision intelligence / financial crime analytics,Series F growth equity round,Teachers' Venture Growth (lead),Quantexa,United Kingdom,"2,600 (post-money valuation)",~26x ARR (est., on $100m+ ARR),Not disclosed
Company PR / BusinessWire / OTPP,"Jul-2020 / May-2021",Growth equity,AML / financial crime data & analytics,Series C growth equity round (incl. GS extension),Ontario Teachers' (TIP) + Goldman Sachs Growth,ComplyAdvantage,United Kingdom,Not disclosed ($70m raised),Not disclosed,Not disclosed
Company PR / PR Newswire / Summit Partners,Jun-2026,Growth equity,Financial crime risk intelligence / AML analytics,Growth equity investment,Summit Partners (lead),Quantifind,United States,Not disclosed ($200m raised),Not disclosed,Not disclosed
Company PR / PR Newswire / TechCrunch,Jan-2022,Crossover / growth equity,Identity verification (IDV),Series C growth equity round,Tiger Global & Alkeon (co-leads),Veriff,Estonia,"1,500 (post-money valuation)",Not disclosed,Not disclosed
